id,latitude,longitude,x,y,cluster,centroid,radius
752292040,48.84834,2.25278,0.142,1.264,1,[2346.688 3037.417],1564.4232634530208
752290048,48.84694,2.25695,0.229,1.109,1,[2346.688 3037.417],1564.4232634530208
752290440,48.83861,2.27167,1.29,0.204,1,[2346.688 3037.417],1564.4232634530208
752290493,48.83889,2.2625,0.621,0.232,1,[2346.688 3037.417],1564.4232634530208
752290178,48.84139,2.26889,1.087,0.497,1,[2346.688 3037.417],1564.4232634530208
752290271,48.84528,2.2725,1.351,0.925,1,[2346.688 3037.417],1564.4232634530208
752290262,48.84445,2.27972,1.88,0.834,1,[2346.688 3037.417],1564.4232634530208
752290456,48.84139,2.28083,1.961,0.497,1,[2346.688 3037.417],1564.4232634530208
752290206,48.84528,2.28473,2.247,0.925,1,[2346.688 3037.417],1564.4232634530208
752291527,48.84167,2.25806,0.304,0.528,1,[2346.688 3037.417],1564.4232634530208
752290214,48.84389,2.26056,0.481,0.772,1,[2346.688 3037.417],1564.4232634530208
752290475,48.84416,2.26556,0.844,0.802,1,[2346.688 3037.417],1564.4232634530208
752291177,48.84695,2.26195,0.582,1.11,1,[2346.688 3037.417],1564.4232634530208
752292084,48.85444,2.26889,1.087,1.941,1,[2346.688 3037.417],1564.4232634530208
752291034,48.8525,2.27555,1.574,1.726,1,[2346.688 3037.417],1564.4232634530208
752291065,48.84306,2.25417,0.1,0.68,1,[2346.688 3037.417],1564.4232634530208
752292571,48.84028,2.2675,0.985,0.377,1,[2346.688 3037.417],1564.4232634530208
752290511,48.85139,2.26167,0.561,1.602,1,[2346.688 3037.417],1564.4232634530208
752290042,48.85167,2.26666,0.924,1.633,1,[2346.688 3037.417],1564.4232634530208
752290420,48.84806,2.28611,2.349,1.233,1,[2346.688 3037.417],1564.4232634530208
752290119,48.84805,2.28112,1.983,1.232,1,[2346.688 3037.417],1564.4232634530208
752290466,48.83917,2.27805,1.758,0.26,1,[2346.688 3037.417],1564.4232634530208
752290128,48.85389,2.25611,0.175,1.88,1,[2346.688 3037.417],1564.4232634530208
752291265,48.84111,2.26444,0.762,0.467,1,[2346.688 3037.417],1564.4232634530208
752292277,48.83611,2.25666,0.21,0.142,1,[2346.688 3037.417],1564.4232634530208
752291149,48.84223,2.27251,1.352,0.589,1,[2346.688 3037.417],1564.4232634530208
752291045,48.84222,2.26472,0.783,0.588,1,[2346.688 3037.417],1564.4232634530208
752291536,48.84889,2.27334,1.413,1.325,1,[2346.688 3037.417],1564.4232634530208
752292091,48.84778,2.26444,0.762,1.202,1,[2346.688 3037.417],1564.4232634530208
752292169,48.845,2.26166,0.561,0.894,1,[2346.688 3037.417],1564.4232634530208
